1,2,0
2,3,0
3,6,0
1,4,0
1,5,0
4,6,0
5,7,0
5,8,0
7,9,0
8,9,0
6,10,0
9,10,0
11,12,0
12,13,0
13,16,0
11,14,0
11,15,0
14,16,0
15,17,0
15,18,0
17,19,0
18,19,0
16,20,0
19,20,0
21,22,0
22,23,0
23,26,0
21,24,0
21,25,0
24,26,0
25,27,0
25,28,0
27,29,0
28,29,0
26,30,0
29,30,0
31,32,0
32,33,0
33,36,0
31,34,0
31,35,0
34,36,0
35,37,0
35,38,0
37,39,0
38,39,0
36,40,0
39,40,0
41,42,0
41,43,0
41,44,0
42,45,0
42,46,0
43,48,0
44,48,0
45,47,0
45,48,1
46,49,0
47,50,0
48,50,0
49,50,0
10,11,0
10,31,0
10,21,0
10,41,0
20,51,0
30,51,0
40,51,0
50,51,0
31,16,1
31,20,1
